Date,Region,Service_Category,Total_Requests,Online_Requests,Offline_Requests,Successful_Requests,Failed_Requests,Avg_Response_Time_sec,Customer_Satisfaction_Score
2025-01-03,Sumgait,Citizen Portal,269,165,104,230,39,4.92,4.56
2025-01-03,Lankaran,E-Government,253,153,100,240,13,4.73,4.02
2025-01-03,Lankaran,Digital ID,271,215,56,232,39,5.3,4.83
2025-01-03,Lankaran,Online Payments,229,163,66,213,16,3.51,4.78
2025-01-03,Lankaran,Business Registration,118,95,23,109,9,5.28,4.92
2025-01-03,Lankaran,Citizen Portal,269,208,61,261,8,3.8,4.08
2025-01-03,Shaki,E-Government,173,110,63,165,8,4.78,4.44
2025-01-03,Shaki,Digital ID,114,101,13,110,4,2.28,3.6
2025-01-03,Shaki,Online Payments,144,102,42,123,21,3.97,4.0
2025-01-03,Shaki,Business Registration,139,96,43,133,6,1.59,4.72
2025-01-03,Shaki,Citizen Portal,154,115,39,144,10,2.89,4.9
2025-01-03,Nakhchivan,E-Government,169,138,31,161,8,2.63,3.77
2025-01-03,Nakhchivan,Digital ID,250,192,58,231,19,4.43,3.69
2025-01-03,Nakhchivan,Online Payments,290,241,49,259,31,5.22,4.79
2025-01-03,Nakhchivan,Business Registration,162,130,32,153,9,2.45,4.07
2025-01-03,Nakhchivan,Citizen Portal,162,121,41,155,7,2.78,4.84
2025-01-04,Baku,E-Government,226,139,87,220,6,4.89,4.03
2025-01-04,Baku,Digital ID,77,68,9,74,3,3.79,4.45
2025-01-04,Baku,Online Payments,166,104,62,154,12,3.71,3.82
2025-01-04,Baku,Business Registration,102,85,17,97,5,1.86,4.24
2025-01-04,Baku,Citizen Portal,216,194,22,185,31,4.45,4.32
2025-01-04,Ganja,E-Government,124,78,46,107,17,4.55,4.43
2025-01-04,Ganja,Digital ID,279,174,105,262,17,1.79,4.73
2025-01-04,Ganja,Online Payments,171,110,61,156,15,2.43,4.37
2025-01-04,Ganja,Business Registration,158,112,46,150,8,5.29,4.98
2025-01-04,Ganja,Citizen Portal,181,127,54,170,11,3.43,4.07
2025-01-04,Sumgait,E-Government,216,157,59,209,7,1.94,4.24
2025-01-04,Sumgait,Digital ID,190,137,53,175,15,4.46,4.65
2025-01-04,Sumgait,Online Payments,176,139,37,166,10,3.83,4.94
2025-01-04,Sumgait,Business Registration,240,178,62,206,34,3.61,4.15
2025-01-04,Sumgait,Citizen Portal,107,64,43,104,3,1.67,4.84
2025-01-04,Lankaran,E-Government,167,146,21,161,6,2.51,4.54
2025-01-04,Lankaran,Digital ID,234,177,57,218,16,4.28,4.18
2025-01-04,Lankaran,Online Payments,166,134,32,149,17,4.45,4.87
2025-01-04,Lankaran,Business Registration,123,108,15,118,5,3.32,4.43
2025-01-04,Lankaran,Citizen Portal,57,37,20,53,4,3.05,3.84
2025-01-04,Shaki,E-Government,77,47,30,75,2,5.44,4.55
2025-01-04,Shaki,Digital ID,194,132,62,175,19,3.91,3.91
2025-01-04,Shaki,Online Payments,190,165,25,181,9,5.3,4.59
2025-01-04,Shaki,Business Registration,96,84,12,82,14,5.01,4.33
2025-01-04,Shaki,Citizen Portal,54,32,22,48,6,4.74,4.98
2025-01-04,Nakhchivan,E-Government,226,161,65,214,12,3.07,4.74
2025-01-04,Nakhchivan,Digital ID,226,192,34,205,21,3.16,3.91
2025-01-04,Nakhchivan,Online Payments,289,179,110,271,18,3.64,4.62
2025-01-04,Nakhchivan,Business Registration,52,39,13,49,3,5.28,4.77
2025-01-04,Nakhchivan,Citizen Portal,194,130,64,170,24,2.51,3.91
2025-01-05,Baku,E-Government,53,35,18,49,4,3.97,4.04
2025-01-05,Baku,Digital ID,121,73,48,110,11,3.4,4.75
2025-01-05,Baku,Online Payments,99,84,15,91,8,3.74,4.81
2025-01-05,Baku,Business Registration,106,82,24,96,10,3.18,4.68
2025-01-05,Baku,Citizen Portal,191,154,37,167,24,2.05,3.52
2025-01-05,Ganja,E-Government,87,68,19,81,6,3.72,3.64
2025-01-05,Ganja,Digital ID,275,193,82,252,23,4.63,4.09
2025-01-05,Ganja,Online Payments,296,224,72,278,18,4.69,4.19
2025-01-05,Ganja,Business Registration,194,145,49,171,23,3.34,4.97
2025-01-05,Ganja,Citizen Portal,102,71,31,89,13,3.82,4.01
2025-01-05,Sumgait,E-Government,160,102,58,138,22,2.11,3.71
2025-01-05,Sumgait,Digital ID,57,37,20,53,4,3.15,4.81
2025-01-05,Sumgait,Online Payments,204,163,41,177,27,2.27,3.56
2025-01-05,Sumgait,Business Registration,54,37,17,48,6,1.63,4.32
2025-01-05,Sumgait,Citizen Portal,182,134,48,159,23,2.96,4.26
2025-01-05,Lankaran,E-Government,94,65,29,81,13,3.42,4.53
2025-01-05,Lankaran,Digital ID,105,90,15,101,4,1.74,3.92
2025-01-05,Lankaran,Online Payments,50,31,19,46,4,5.45,4.3
2025-01-05,Lankaran,Business Registration,105,78,27,97,8,2.98,4.19
2025-01-05,Lankaran,Citizen Portal,158,97,61,137,21,2.03,4.53
2025-01-05,Shaki,E-Government,200,150,50,183,17,1.93,4.17
2025-01-05,Shaki,Digital ID,276,198,78,238,38,4.45,3.77
2025-01-05,Shaki,Online Payments,88,61,27,77,11,2.81,3.68
2025-01-05,Shaki,Business Registration,194,136,58,176,18,2.92,4.47
2025-01-05,Shaki,Citizen Portal,195,122,73,179,16,3.85,4.62
2025-01-05,Nakhchivan,E-Government,162,124,38,145,17,2.85,4.85
2025-01-05,Nakhchivan,Digital ID,113,87,26,101,12,5.45,4.41
2025-01-05,Nakhchivan,Online Payments,82,49,33,72,10,2.96,4.23
2025-01-05,Nakhchivan,Business Registration,143,93,50,126,17,2.19,4.85
2025-01-05,Nakhchivan,Citizen Portal,296,182,114,252,44,4.29,5.0
2025-01-06,Baku,E-Government,55,39,16,53,2,4.96,4.73
2025-01-06,Baku,Digital ID,162,121,41,152,10,4.78,4.58
2025-01-06,Baku,Online Payments,252,194,58,223,29,4.58,3.78
2025-01-06,Baku,Business Registration,167,135,32,146,21,4.44,4.29
2025-01-06,Baku,Citizen Portal,50,39,11,44,6,3.82,3.73
2025-01-06,Ganja,E-Government,149,103,46,138,11,2.98,4.18
2025-01-06,Ganja,Digital ID,54,33,21,52,2,2.79,4.71
2025-01-06,Ganja,Online Payments,114,73,41,96,18,1.97,4.21
2025-01-06,Ganja,Business Registration,87,62,25,77,10,5.22,4.75
2025-01-06,Ganja,Citizen Portal,285,205,80,276,9,5.46,3.81
2025-01-06,Sumgait,E-Government,276,171,105,261,15,3.8,4.76
2025-01-06,Sumgait,Digital ID,121,102,19,114,7,4.7,4.74
2025-01-06,Sumgait,Online Payments,214,180,34,200,14,3.59,4.04
2025-01-06,Sumgait,Business Registration,286,222,64,268,18,3.31,4.57
2025-01-06,Sumgait,Citizen Portal,81,59,22,72,9,4.49,4.25
2025-01-06,Lankaran,E-Government,202,142,60,181,21,3.63,3.6
2025-01-06,Lankaran,Digital ID,153,120,33,132,21,5.26,4.44
2025-01-06,Lankaran,Online Payments,249,201,48,217,32,5.01,4.24
2025-01-06,Lankaran,Business Registration,271,235,36,258,13,2.11,3.97
2025-01-06,Lankaran,Citizen Portal,278,231,47,241,37,2.32,4.57
2025-01-06,Shaki,E-Government,54,46,8,48,6,4.79,3.67
2025-01-06,Shaki,Digital ID,277,204,73,257,20,3.51,4.31
2025-01-06,Shaki,Online Payments,206,137,69,194,12,4.38,4.46
2025-01-06,Shaki,Business Registration,292,224,68,275,17,3.9,4.74
2025-01-06,Shaki,Citizen Portal,123,86,37,108,15,3.19,3.93
2025-01-06,Nakhchivan,E-Government,156,100,56,144,12,3.52,4.42
2025-01-06,Nakhchivan,Digital ID,160,130,30,148,12,1.91,4.88
2025-01-06,Nakhchivan,Online Payments,182,159,23,171,11,2.11,4.36
2025-01-06,Nakhchivan,Business Registration,171,106,65,147,24,1.92,4.76
2025-01-06,Nakhchivan,Citizen Portal,60,44,16,51,9,5.44,4.76
2025-01-07,Baku,E-Government,231,196,35,206,25,2.75,3.84
2025-01-07,Baku,Digital ID,192,138,54,164,28,2.84,4.7
2025-01-07,Baku,Online Payments,166,129,37,143,23,3.16,4.8
2025-01-07,Baku,Business Registration,87,61,26,77,10,4.45,4.18
2025-01-07,Baku,Citizen Portal,220,134,86,213,7,2.49,4.37
2025-01-07,Ganja,E-Government,229,166,63,221,8,2.95,4.37
2025-01-07,Ganja,Digital ID,199,132,67,174,25,3.56,4.96
2025-01-07,Ganja,Online Payments,154,99,55,139,15,1.84,5.0
2025-01-07,Ganja,Business Registration,98,67,31,87,11,3.09,4.14
2025-01-07,Ganja,Citizen Portal,233,202,31,204,29,2.26,3.55
2025-01-07,Sumgait,E-Government,79,67,12,73,6,2.68,4.57
2025-01-07,Sumgait,Digital ID,291,220,71,264,27,3.1,4.34
2025-01-07,Sumgait,Online Payments,112,70,42,100,12,1.8,4.63
2025-01-07,Sumgait,Business Registration,59,40,19,55,4,3.13,3.54
2025-01-07,Sumgait,Citizen Portal,269,229,40,258,11,3.13,4.33
2025-01-07,Lankaran,E-Government,116,77,39,108,8,1.58,3.66
2025-01-07,Lankaran,Digital ID,288,221,67,278,10,3.73,4.58
2025-01-07,Lankaran,Online Payments,84,56,28,79,5,4.92,4.75
2025-01-07,Lankaran,Business Registration,245,216,29,212,33,3.13,3.99
2025-01-07,Lankaran,Citizen Portal,259,156,103,223,36,2.33,3.54
2025-01-07,Shaki,E-Government,174,150,24,162,12,4.32,4.87
2025-01-07,Shaki,Digital ID,246,172,74,217,29,3.02,4.39
2025-01-07,Shaki,Online Payments,189,160,29,169,20,4.6,4.04
2025-01-07,Shaki,Business Registration,102,70,32,99,3,4.55,3.71
2025-01-07,Shaki,Citizen Portal,251,193,58,245,6,3.38,3.77
2025-01-07,Nakhchivan,E-Government,163,98,65,144,19,3.67,4.45
2025-01-07,Nakhchivan,Digital ID,152,101,51,141,11,3.19,3.7
2025-01-07,Nakhchivan,Online Payments,78,50,28,69,9,1.57,4.87
2025-01-07,Nakhchivan,Business Registration,134,113,21,122,12,1.77,4.11
2025-01-07,Nakhchivan,Citizen Portal,279,236,43,244,35,1.54,3.71
2025-01-08,Baku,E-Government,106,72,34,100,6,2.5,4.45
2025-01-08,Baku,Digital ID,102,66,36,98,4,3.18,4.07
2025-01-08,Baku,Online Payments,171,124,47,153,18,5.33,3.78
2025-01-08,Baku,Business Registration,230,179,51,202,28,3.06,3.93
2025-01-08,Baku,Citizen Portal,213,173,40,189,24,3.77,4.21
2025-01-08,Ganja,E-Government,160,141,19,138,22,3.44,3.9
2025-01-08,Ganja,Digital ID,288,195,93,267,21,1.71,4.24
2025-01-08,Ganja,Online Payments,158,102,56,147,11,3.4,4.02
2025-01-08,Ganja,Business Registration,89,72,17,81,8,4.25,4.15
2025-01-08,Ganja,Citizen Portal,88,54,34,75,13,1.51,4.95
2025-01-08,Sumgait,E-Government,151,117,34,135,16,1.87,4.88
2025-01-08,Sumgait,Digital ID,238,199,39,223,15,3.59,3.63
2025-01-08,Sumgait,Online Payments,129,111,18,121,8,4.73,4.49
2025-01-08,Sumgait,Business Registration,167,132,35,163,4,5.11,4.47
2025-01-08,Sumgait,Citizen Portal,108,96,12,105,3,1.66,4.56
2025-01-08,Lankaran,E-Government,248,223,25,228,20,3.39,3.97
2025-01-08,Lankaran,Digital ID,128,103,25,113,15,5.2,4.96
2025-01-08,Lankaran,Online Payments,264,221,43,249,15,1.72,4.18
2025-01-08,Lankaran,Business Registration,236,200,36,201,35,3.89,3.85
2025-01-08,Lankaran,Citizen Portal,237,176,61,228,9,3.62,4.16
2025-01-08,Shaki,E-Government,264,163,101,235,29,3.66,4.69
2025-01-08,Shaki,Digital ID,202,165,37,185,17,3.21,4.81
2025-01-08,Shaki,Online Payments,243,147,96,234,9,1.59,4.81
2025-01-08,Shaki,Business Registration,190,135,55,184,6,1.78,3.51
2025-01-08,Shaki,Citizen Portal,78,64,14,70,8,3.42,4.44
2025-01-08,Nakhchivan,E-Government,233,158,75,210,23,1.87,4.0
2025-01-08,Nakhchivan,Digital ID,133,109,24,117,16,1.94,4.03
2025-01-08,Nakhchivan,Online Payments,207,177,30,195,12,3.86,3.92
2025-01-08,Nakhchivan,Business Registration,230,206,24,208,22,3.04,4.52
2025-01-08,Nakhchivan,Citizen Portal,189,167,22,180,9,2.54,4.38
2025-01-09,Baku,E-Government,88,76,12,85,3,3.37,4.42
2025-01-09,Baku,Digital ID,202,166,36,173,29,3.11,4.76
2025-01-09,Baku,Online Payments,103,80,23,94,9,2.42,3.76
2025-01-09,Baku,Business Registration,267,163,104,260,7,4.8,4.7
2025-01-09,Baku,Citizen Portal,103,91,12,99,4,5.21,4.99
2025-01-09,Ganja,E-Government,110,74,36,100,10,3.46,4.99
2025-01-09,Ganja,Digital ID,52,43,9,45,7,2.4,4.31
2025-01-09,Ganja,Online Payments,122,105,17,117,5,3.33,4.09
2025-01-09,Ganja,Business Registration,172,109,63,166,6,5.32,4.79
2025-01-09,Ganja,Citizen Portal,58,40,18,56,2,4.44,3.92
2025-01-09,Sumgait,E-Government,173,123,50,152,21,4.39,4.24
2025-01-09,Sumgait,Digital ID,247,219,28,213,34,5.08,4.99
2025-01-09,Sumgait,Online Payments,163,122,41,148,15,3.87,4.74
2025-01-09,Sumgait,Business Registration,105,83,22,96,9,4.96,4.6
2025-01-09,Sumgait,Citizen Portal,265,222,43,247,18,4.9,4.8
2025-01-09,Lankaran,E-Government,218,152,66,192,26,5.22,3.66
2025-01-09,Lankaran,Digital ID,204,168,36,177,27,5.02,4.81
2025-01-09,Lankaran,Online Payments,292,252,40,248,44,4.78,3.84
2025-01-09,Lankaran,Business Registration,88,57,31,84,4,4.83,4.26
2025-01-09,Lankaran,Citizen Portal,88,57,31,75,13,2.81,4.34
2025-01-09,Shaki,E-Government,153,103,50,142,11,3.66,4.67
2025-01-09,Shaki,Digital ID,119,81,38,101,18,3.23,4.76
2025-01-09,Shaki,Online Payments,205,161,44,199,6,1.91,4.91
2025-01-09,Shaki,Business Registration,145,120,25,141,4,2.17,4.66
2025-01-09,Shaki,Citizen Portal,194,150,44,173,21,3.98,3.57
2025-01-09,Nakhchivan,E-Government,99,88,11,92,7,3.28,4.47
2025-01-09,Nakhchivan,Digital ID,229,189,40,195,34,1.59,3.99
2025-01-09,Nakhchivan,Online Payments,128,108,20,113,15,1.5,3.74
2025-01-09,Nakhchivan,Business Registration,275,247,28,248,27,3.31,3.75
2025-01-09,Nakhchivan,Citizen Portal,168,142,26,149,19,4.86,4.66
2025-01-10,Baku,E-Government,133,105,28,117,16,5.3,3.73
2025-01-10,Baku,Digital ID,141,115,26,136,5,4.93,4.95
2025-01-10,Baku,Online Payments,196,133,63,191,5,3.14,4.84
2025-01-10,Baku,Business Registration,64,52,12,56,8,4.97,4.57
2025-01-10,Baku,Citizen Portal,67,57,10,61,6,5.37,3.78
2025-01-10,Ganja,E-Government,194,121,73,168,26,3.31,4.3
2025-01-10,Ganja,Digital ID,248,195,53,215,33,1.63,4.88
2025-01-10,Ganja,Online Payments,180,118,62,163,17,1.5,4.4
2025-01-10,Ganja,Business Registration,175,140,35,158,17,2.3,4.24
2025-01-10,Ganja,Citizen Portal,112,89,23,99,13,3.86,4.15
2025-01-10,Sumgait,E-Government,113,83,30,96,17,1.79,4.09
2025-01-10,Sumgait,Digital ID,159,141,18,150,9,4.13,4.64
2025-01-10,Sumgait,Online Payments,151,131,20,142,9,4.5,3.72
2025-01-10,Sumgait,Business Registration,125,111,14,108,17,3.5,4.43
2025-01-10,Sumgait,Citizen Portal,197,138,59,187,10,5.26,3.61
2025-01-10,Lankaran,E-Government,274,171,103,245,29,1.63,3.62
2025-01-10,Lankaran,Digital ID,199,138,61,194,5,2.3,4.54
2025-01-10,Lankaran,Online Payments,192,126,66,167,25,1.92,4.45
2025-01-10,Lankaran,Business Registration,244,212,32,226,18,3.97,4.42
2025-01-10,Lankaran,Citizen Portal,90,73,17,86,4,4.36,4.7
2025-01-10,Shaki,E-Government,111,86,25,101,10,4.14,4.33
2025-01-10,Shaki,Digital ID,183,154,29,166,17,4.07,4.29
2025-01-10,Shaki,Online Payments,155,113,42,146,9,3.87,4.48
2025-01-10,Shaki,Business Registration,74,63,11,65,9,5.4,4.01
2025-01-10,Shaki,Citizen Portal,185,159,26,167,18,1.67,3.74
2025-01-10,Nakhchivan,E-Government,247,201,46,217,30,5.49,4.96
2025-01-10,Nakhchivan,Digital ID,180,112,68,162,18,2.38,4.13
2025-01-10,Nakhchivan,Online Payments,256,173,83,232,24,4.97,4.59
2025-01-10,Nakhchivan,Business Registration,238,203,35,221,17,4.44,4.65
2025-01-10,Nakhchivan,Citizen Portal,237,145,92,228,9,3.81,4.16
2025-01-11,Baku,E-Government,166,119,47,154,12,3.89,4.69
2025-01-11,Baku,Digital ID,88,60,28,81,7,5.15,3.82
2025-01-11,Baku,Online Payments,286,211,75,274,12,2.44,4.66
2025-01-11,Baku,Business Registration,149,130,19,130,19,2.45,4.96
2025-01-11,Baku,Citizen Portal,168,121,47,144,24,3.25,3.65
2025-01-11,Ganja,E-Government,174,127,47,159,15,2.94,4.39
2025-01-11,Ganja,Digital ID,119,94,25,105,14,3.1,4.79
2025-01-11,Ganja,Online Payments,54,37,17,51,3,2.02,4.95
2025-01-11,Ganja,Business Registration,96,64,32,92,4,3.27,4.0
2025-01-11,Ganja,Citizen Portal,142,99,43,136,6,3.22,3.87
2025-01-11,Sumgait,E-Government,220,194,26,194,26,2.94,4.07
2025-01-11,Sumgait,Digital ID,156,128,28,146,10,3.4,4.77
2025-01-11,Sumgait,Online Payments,93,68,25,89,4,3.73,4.31
2025-01-11,Sumgait,Business Registration,197,134,63,168,29,3.62,4.9
2025-01-11,Sumgait,Citizen Portal,78,61,17,68,10,2.22,3.63
2025-01-11,Lankaran,E-Government,210,157,53,179,31,2.09,4.98
2025-01-11,Lankaran,Digital ID,265,213,52,225,40,2.79,4.96
2025-01-11,Lankaran,Online Payments,88,64,24,80,8,3.46,4.5
2025-01-11,Lankaran,Business Registration,133,84,49,115,18,2.07,4.91
2025-01-11,Lankaran,Citizen Portal,173,138,35,168,5,1.88,4.51
2025-01-11,Shaki,E-Government,145,97,48,141,4,2.52,4.49
2025-01-11,Shaki,Digital ID,168,148,20,157,11,3.49,4.43
2025-01-11,Shaki,Online Payments,185,158,27,175,10,1.95,4.69
2025-01-11,Shaki,Business Registration,245,196,49,215,30,4.14,4.09
2025-01-11,Shaki,Citizen Portal,118,91,27,105,13,2.14,4.41
2025-01-11,Nakhchivan,E-Government,112,100,12,101,11,4.98,4.67
2025-01-11,Nakhchivan,Digital ID,126,86,40,108,18,4.1,4.65
2025-01-11,Nakhchivan,Online Payments,181,144,37,172,9,4.55,4.7
2025-01-11,Nakhchivan,Business Registration,132,113,19,118,14,2.69,4.47
2025-01-11,Nakhchivan,Citizen Portal,262,182,80,235,27,3.08,4.54
2025-01-12,Baku,E-Government,109,83,26,101,8,3.68,4.17
2025-01-12,Baku,Digital ID,151,93,58,140,11,4.17,4.43
2025-01-12,Baku,Online Payments,223,167,56,205,18,5.31,4.77
2025-01-12,Baku,Business Registration,205,124,81,183,22,3.02,4.1
2025-01-12,Baku,Citizen Portal,86,57,29,78,8,3.08,4.32
2025-01-12,Ganja,E-Government,95,77,18,92,3,1.57,3.79
2025-01-12,Ganja,Digital ID,296,257,39,254,42,5.32,4.48
2025-01-12,Ganja,Online Payments,100,61,39,97,3,2.91,3.65
2025-01-12,Ganja,Business Registration,174,136,38,159,15,4.18,4.89
2025-01-12,Ganja,Citizen Portal,205,156,49,182,23,3.94,4.57
2025-01-12,Sumgait,E-Government,226,201,25,216,10,3.59,3.68
2025-01-12,Sumgait,Digital ID,157,102,55,144,13,4.34,3.66
2025-01-12,Sumgait,Online Payments,219,143,76,212,7,3.2,3.63
2025-01-12,Sumgait,Business Registration,103,78,25,88,15,4.03,4.93
2025-01-12,Sumgait,Citizen Portal,168,132,36,154,14,3.87,4.69
2025-01-12,Lankaran,E-Government,64,50,14,57,7,4.86,4.85
2025-01-12,Lankaran,Digital ID,257,197,60,226,31,2.71,4.6
2025-01-12,Lankaran,Online Payments,149,108,41,139,10,1.88,4.44
2025-01-12,Lankaran,Business Registration,274,199,75,238,36,2.44,4.8
2025-01-12,Lankaran,Citizen Portal,210,139,71,181,29,1.59,4.46
2025-01-12,Shaki,E-Government,269,178,91,250,19,2.53,4.45
2025-01-12,Shaki,Digital ID,234,175,59,228,6,2.05,4.54
2025-01-12,Shaki,Online Payments,116,85,31,105,11,4.4,3.52
2025-01-12,Shaki,Business Registration,73,46,27,63,10,4.4,4.37
2025-01-12,Shaki,Citizen Portal,216,179,37,191,25,4.08,4.39
2025-01-12,Nakhchivan,E-Government,122,85,37,107,15,2.92,3.6
2025-01-12,Nakhchivan,Digital ID,98,83,15,91,7,1.78,4.46
2025-01-12,Nakhchivan,Online Payments,57,49,8,53,4,3.63,3.99
2025-01-12,Nakhchivan,Business Registration,52,34,18,44,8,3.01,4.04
2025-01-12,Nakhchivan,Citizen Portal,84,68,16,76,8,1.74,4.34
2025-01-13,Baku,E-Government,85,75,10,79,6,4.52,3.76
2025-01-13,Baku,Digital ID,155,97,58,140,15,4.52,4.02
2025-01-13,Baku,Online Payments,189,169,20,172,17,3.03,3.68
2025-01-13,Baku,Business Registration,164,105,59,160,4,5.21,4.31
2025-01-13,Baku,Citizen Portal,170,136,34,146,24,2.53,4.68
2025-01-13,Ganja,E-Government,81,51,30,77,4,4.63,4.56
2025-01-13,Ganja,Digital ID,191,121,70,167,24,2.87,4.07
2025-01-13,Ganja,Online Payments,51,44,7,47,4,2.72,4.1
2025-01-13,Ganja,Business Registration,200,176,24,192,8,2.15,4.68
2025-01-13,Ganja,Citizen Portal,192,172,20,184,8,2.33,4.9
2025-01-13,Sumgait,E-Government,91,69,22,84,7,4.2,4.3
2025-01-13,Sumgait,Digital ID,255,214,41,242,13,2.72,3.62
2025-01-13,Sumgait,Online Payments,198,120,78,172,26,2.39,4.94
2025-01-13,Sumgait,Business Registration,259,205,54,247,12,2.03,4.79
2025-01-13,Sumgait,Citizen Portal,213,166,47,184,29,5.09,4.74
